date,city,category,cpi
2015-01-01,Ahmedabad,Clothing and Footwear,100.0
2015-02-01,Ahmedabad,Clothing and Footwear,100.36
2015-03-01,Ahmedabad,Clothing and Footwear,100.93
2015-04-01,Ahmedabad,Clothing and Footwear,101.37
2015-05-01,Ahmedabad,Clothing and Footwear,101.6
2015-06-01,Ahmedabad,Clothing and Footwear,102.23
2015-07-01,Ahmedabad,Clothing and Footwear,103.03
2015-08-01,Ahmedabad,Clothing and Footwear,104.14
2015-09-01,Ahmedabad,Clothing and Footwear,105.11
2015-10-01,Ahmedabad,Clothing and Footwear,105.7
2015-11-01,Ahmedabad,Clothing and Footwear,106.17
2015-12-01,Ahmedabad,Clothing and Footwear,106.57
2016-01-01,Ahmedabad,Clothing and Footwear,107.04
2016-02-01,Ahmedabad,Clothing and Footwear,107.14
2016-03-01,Ahmedabad,Clothing and Footwear,107.42
2016-04-01,Ahmedabad,Clothing and Footwear,107.58
2016-05-01,Ahmedabad,Clothing and Footwear,107.88
2016-06-01,Ahmedabad,Clothing and Footwear,108.18
2016-07-01,Ahmedabad,Clothing and Footwear,108.73
2016-08-01,Ahmedabad,Clothing and Footwear,108.75
2016-09-01,Ahmedabad,Clothing and Footwear,109.08
2016-10-01,Ahmedabad,Clothing and Footwear,108.9
2016-11-01,Ahmedabad,Clothing and Footwear,109.41
2016-12-01,Ahmedabad,Clothing and Footwear,110.06
2017-01-01,Ahmedabad,Clothing and Footwear,110.59
2017-02-01,Ahmedabad,Clothing and Footwear,110.97
2017-03-01,Ahmedabad,Clothing and Footwear,111.85
2017-04-01,Ahmedabad,Clothing and Footwear,112.7
2017-05-01,Ahmedabad,Clothing and Footwear,112.88
2017-06-01,Ahmedabad,Clothing and Footwear,112.8
2017-07-01,Ahmedabad,Clothing and Footwear,112.88
2017-08-01,Ahmedabad,Clothing and Footwear,113.41
2017-09-01,Ahmedabad,Clothing and Footwear,113.69
2017-10-01,Ahmedabad,Clothing and Footwear,113.76
2017-11-01,Ahmedabad,Clothing and Footwear,114.23
2017-12-01,Ahmedabad,Clothing and Footwear,114.32
2018-01-01,Ahmedabad,Clothing and Footwear,115.27
2018-02-01,Ahmedabad,Clothing and Footwear,115.06
2018-03-01,Ahmedabad,Clothing and Footwear,114.91
2018-04-01,Ahmedabad,Clothing and Footwear,115.5
2018-05-01,Ahmedabad,Clothing and Footwear,116.21
2018-06-01,Ahmedabad,Clothing and Footwear,116.77
2018-07-01,Ahmedabad,Clothing and Footwear,117.45
2018-08-01,Ahmedabad,Clothing and Footwear,118.56
2018-09-01,Ahmedabad,Clothing and Footwear,118.83
2018-10-01,Ahmedabad,Clothing and Footwear,118.46
2018-11-01,Ahmedabad,Clothing and Footwear,118.77
2018-12-01,Ahmedabad,Clothing and Footwear,118.92
2019-01-01,Ahmedabad,Clothing and Footwear,119.93
2019-02-01,Ahmedabad,Clothing and Footwear,120.59
2019-03-01,Ahmedabad,Clothing and Footwear,121.68
2019-04-01,Ahmedabad,Clothing and Footwear,121.88
2019-05-01,Ahmedabad,Clothing and Footwear,122.03
2019-06-01,Ahmedabad,Clothing and Footwear,122.09
2019-07-01,Ahmedabad,Clothing and Footwear,122.23
2019-08-01,Ahmedabad,Clothing and Footwear,122.5
2019-09-01,Ahmedabad,Clothing and Footwear,122.71
2019-10-01,Ahmedabad,Clothing and Footwear,123.15
2019-11-01,Ahmedabad,Clothing and Footwear,123.63
2019-12-01,Ahmedabad,Clothing and Footwear,124.23
2020-01-01,Ahmedabad,Clothing and Footwear,124.63
2020-02-01,Ahmedabad,Clothing and Footwear,124.92
2020-03-01,Ahmedabad,Clothing and Footwear,125.4
2020-04-01,Ahmedabad,Clothing and Footwear,125.48
2020-05-01,Ahmedabad,Clothing and Footwear,125.51
2020-06-01,Ahmedabad,Clothing and Footwear,126.3
2020-07-01,Ahmedabad,Clothing and Footwear,127.43
2020-08-01,Ahmedabad,Clothing and Footwear,128.05
2020-09-01,Ahmedabad,Clothing and Footwear,127.54
2020-10-01,Ahmedabad,Clothing and Footwear,128.33
2020-11-01,Ahmedabad,Clothing and Footwear,128.75
2020-12-01,Ahmedabad,Clothing and Footwear,129.76
2021-01-01,Ahmedabad,Clothing and Footwear,130.11
2021-02-01,Ahmedabad,Clothing and Footwear,130.25
2021-03-01,Ahmedabad,Clothing and Footwear,130.72
2021-04-01,Ahmedabad,Clothing and Footwear,130.65
2021-05-01,Ahmedabad,Clothing and Footwear,131.93
2021-06-01,Ahmedabad,Clothing and Footwear,132.11
2021-07-01,Ahmedabad,Clothing and Footwear,132.53
2021-08-01,Ahmedabad,Clothing and Footwear,132.73
2021-09-01,Ahmedabad,Clothing and Footwear,132.78
2021-10-01,Ahmedabad,Clothing and Footwear,132.77
2021-11-01,Ahmedabad,Clothing and Footwear,133.27
2021-12-01,Ahmedabad,Clothing and Footwear,133.64
2022-01-01,Ahmedabad,Clothing and Footwear,134.28
2022-02-01,Ahmedabad,Clothing and Footwear,135.54
2022-03-01,Ahmedabad,Clothing and Footwear,135.7
2022-04-01,Ahmedabad,Clothing and Footwear,135.85
2022-05-01,Ahmedabad,Clothing and Footwear,136.07
2022-06-01,Ahmedabad,Clothing and Footwear,136.91
2022-07-01,Ahmedabad,Clothing and Footwear,138.02
2022-08-01,Ahmedabad,Clothing and Footwear,138.68
2022-09-01,Ahmedabad,Clothing and Footwear,139.41
2022-10-01,Ahmedabad,Clothing and Footwear,140.03
2022-11-01,Ahmedabad,Clothing and Footwear,140.61
2022-12-01,Ahmedabad,Clothing and Footwear,140.59
2023-01-01,Ahmedabad,Clothing and Footwear,141.43
2023-02-01,Ahmedabad,Clothing and Footwear,141.92
2023-03-01,Ahmedabad,Clothing and Footwear,142.87
2023-04-01,Ahmedabad,Clothing and Footwear,143.32
2023-05-01,Ahmedabad,Clothing and Footwear,143.52
2023-06-01,Ahmedabad,Clothing and Footwear,143.78
2023-07-01,Ahmedabad,Clothing and Footwear,143.8
2023-08-01,Ahmedabad,Clothing and Footwear,143.99
2023-09-01,Ahmedabad,Clothing and Footwear,144.14
2023-10-01,Ahmedabad,Clothing and Footwear,145.13
2023-11-01,Ahmedabad,Clothing and Footwear,145.11
2023-12-01,Ahmedabad,Clothing and Footwear,145.68
2024-01-01,Ahmedabad,Clothing and Footwear,146.47
2024-02-01,Ahmedabad,Clothing and Footwear,147.25
2024-03-01,Ahmedabad,Clothing and Footwear,147.44
2024-04-01,Ahmedabad,Clothing and Footwear,147.94
2024-05-01,Ahmedabad,Clothing and Footwear,148.84
2024-06-01,Ahmedabad,Clothing and Footwear,149.3
2024-07-01,Ahmedabad,Clothing and Footwear,150.27
2024-08-01,Ahmedabad,Clothing and Footwear,151.09
2024-09-01,Ahmedabad,Clothing and Footwear,151.02
2024-10-01,Ahmedabad,Clothing and Footwear,150.63
2024-11-01,Ahmedabad,Clothing and Footwear,151.78
2024-12-01,Ahmedabad,Clothing and Footwear,152.36
2025-01-01,Ahmedabad,Clothing and Footwear,153.44
2025-02-01,Ahmedabad,Clothing and Footwear,154.26
2025-03-01,Ahmedabad,Clothing and Footwear,155.13
2025-04-01,Ahmedabad,Clothing and Footwear,155.8
2025-05-01,Ahmedabad,Clothing and Footwear,156.05
2025-06-01,Ahmedabad,Clothing and Footwear,156.41
2025-07-01,Ahmedabad,Clothing and Footwear,157.76
2025-08-01,Ahmedabad,Clothing and Footwear,159.87
2025-09-01,Ahmedabad,Clothing and Footwear,160.56
2025-10-01,Ahmedabad,Clothing and Footwear,160.58
2025-11-01,Ahmedabad,Clothing and Footwear,161.51
2025-12-01,Ahmedabad,Clothing and Footwear,163.13
2015-01-01,Ahmedabad,Education,100.0
2015-02-01,Ahmedabad,Education,100.88
2015-03-01,Ahmedabad,Education,101.53
2015-04-01,Ahmedabad,Education,101.84
2015-05-01,Ahmedabad,Education,102.58
2015-06-01,Ahmedabad,Education,103.34
2015-07-01,Ahmedabad,Education,104.06
2015-08-01,Ahmedabad,Education,104.6
2015-09-01,Ahmedabad,Education,105.17
2015-10-01,Ahmedabad,Education,105.97
2015-11-01,Ahmedabad,Education,106.65
2015-12-01,Ahmedabad,Education,107.5
2016-01-01,Ahmedabad,Education,108.78
2016-02-01,Ahmedabad,Education,109.31
2016-03-01,Ahmedabad,Education,109.72
2016-04-01,Ahmedabad,Education,110.09
2016-05-01,Ahmedabad,Education,110.55
2016-06-01,Ahmedabad,Education,111.45
2016-07-01,Ahmedabad,Education,112.11
2016-08-01,Ahmedabad,Education,112.66
2016-09-01,Ahmedabad,Education,112.89
2016-10-01,Ahmedabad,Education,113.6
2016-11-01,Ahmedabad,Education,114.49
2016-12-01,Ahmedabad,Education,115.56
2017-01-01,Ahmedabad,Education,116.31
2017-02-01,Ahmedabad,Education,116.85
2017-03-01,Ahmedabad,Education,118.01
2017-04-01,Ahmedabad,Education,119.2
2017-05-01,Ahmedabad,Education,119.98
2017-06-01,Ahmedabad,Education,121.1
2017-07-01,Ahmedabad,Education,121.92
2017-08-01,Ahmedabad,Education,122.7
2017-09-01,Ahmedabad,Education,123.93
2017-10-01,Ahmedabad,Education,124.48
2017-11-01,Ahmedabad,Education,125.2
2017-12-01,Ahmedabad,Education,125.86
2018-01-01,Ahmedabad,Education,127.23
2018-02-01,Ahmedabad,Education,127.95
2018-03-01,Ahmedabad,Education,128.7
2018-04-01,Ahmedabad,Education,129.62
2018-05-01,Ahmedabad,Education,130.1
2018-06-01,Ahmedabad,Education,131.3
2018-07-01,Ahmedabad,Education,132.67
2018-08-01,Ahmedabad,Education,133.52
2018-09-01,Ahmedabad,Education,133.63
2018-10-01,Ahmedabad,Education,133.72
2018-11-01,Ahmedabad,Education,134.91
2018-12-01,Ahmedabad,Education,135.73
2019-01-01,Ahmedabad,Education,136.74
2019-02-01,Ahmedabad,Education,137.81
2019-03-01,Ahmedabad,Education,138.44
2019-04-01,Ahmedabad,Education,139.21
2019-05-01,Ahmedabad,Education,140.14
2019-06-01,Ahmedabad,Education,141.34
2019-07-01,Ahmedabad,Education,142.17
2019-08-01,Ahmedabad,Education,143.29
2019-09-01,Ahmedabad,Education,144.35
2019-10-01,Ahmedabad,Education,145.29
2019-11-01,Ahmedabad,Education,145.93
2019-12-01,Ahmedabad,Education,147.1
2020-01-01,Ahmedabad,Education,147.86
2020-02-01,Ahmedabad,Education,148.72
2020-03-01,Ahmedabad,Education,149.21
2020-04-01,Ahmedabad,Education,149.61
2020-05-01,Ahmedabad,Education,150.11
2020-06-01,Ahmedabad,Education,151.07
2020-07-01,Ahmedabad,Education,151.89
2020-08-01,Ahmedabad,Education,152.77
2020-09-01,Ahmedabad,Education,153.42
2020-10-01,Ahmedabad,Education,154.57
2020-11-01,Ahmedabad,Education,155.51
2020-12-01,Ahmedabad,Education,156.29
2021-01-01,Ahmedabad,Education,157.47
2021-02-01,Ahmedabad,Education,159.02
2021-03-01,Ahmedabad,Education,160.5
2021-04-01,Ahmedabad,Education,161.24
2021-05-01,Ahmedabad,Education,162.02
2021-06-01,Ahmedabad,Education,163.11
2021-07-01,Ahmedabad,Education,164.14
2021-08-01,Ahmedabad,Education,164.77
2021-09-01,Ahmedabad,Education,165.9
2021-10-01,Ahmedabad,Education,166.85
2021-11-01,Ahmedabad,Education,168.12
2021-12-01,Ahmedabad,Education,168.78
2022-01-01,Ahmedabad,Education,169.87
2022-02-01,Ahmedabad,Education,170.65
2022-03-01,Ahmedabad,Education,172.35
2022-04-01,Ahmedabad,Education,173.39
2022-05-01,Ahmedabad,Education,174.73
2022-06-01,Ahmedabad,Education,175.85
2022-07-01,Ahmedabad,Education,176.97
2022-08-01,Ahmedabad,Education,178.11
2022-09-01,Ahmedabad,Education,178.95
2022-10-01,Ahmedabad,Education,179.75
2022-11-01,Ahmedabad,Education,180.07
2022-12-01,Ahmedabad,Education,181.06
2023-01-01,Ahmedabad,Education,182.29
2023-02-01,Ahmedabad,Education,183.58
2023-03-01,Ahmedabad,Education,184.87
2023-04-01,Ahmedabad,Education,185.9
2023-05-01,Ahmedabad,Education,186.79
2023-06-01,Ahmedabad,Education,187.57
2023-07-01,Ahmedabad,Education,188.12
2023-08-01,Ahmedabad,Education,188.71
2023-09-01,Ahmedabad,Education,189.58
2023-10-01,Ahmedabad,Education,191.16
2023-11-01,Ahmedabad,Education,192.64
2023-12-01,Ahmedabad,Education,194.69
2024-01-01,Ahmedabad,Education,196.1
2024-02-01,Ahmedabad,Education,197.17
2024-03-01,Ahmedabad,Education,198.32
2024-04-01,Ahmedabad,Education,199.76
2024-05-01,Ahmedabad,Education,201.14
2024-06-01,Ahmedabad,Education,202.68
2024-07-01,Ahmedabad,Education,203.17
2024-08-01,Ahmedabad,Education,205.2
2024-09-01,Ahmedabad,Education,206.77
2024-10-01,Ahmedabad,Education,207.35
2024-11-01,Ahmedabad,Education,207.9
2024-12-01,Ahmedabad,Education,208.15
2025-01-01,Ahmedabad,Education,209.24
2025-02-01,Ahmedabad,Education,210.53
2025-03-01,Ahmedabad,Education,211.82
2025-04-01,Ahmedabad,Education,213.18
2025-05-01,Ahmedabad,Education,214.73
2025-06-01,Ahmedabad,Education,215.72
2025-07-01,Ahmedabad,Education,217.22
2025-08-01,Ahmedabad,Education,218.29
2025-09-01,Ahmedabad,Education,220.55
2025-10-01,Ahmedabad,Education,222.75
2025-11-01,Ahmedabad,Education,225.04
2025-12-01,Ahmedabad,Education,226.49
2015-01-01,Ahmedabad,Food and Beverages,100.0
2015-02-01,Ahmedabad,Food and Beverages,101.24
2015-03-01,Ahmedabad,Food and Beverages,101.44
2015-04-01,Ahmedabad,Food and Beverages,101.2
2015-05-01,Ahmedabad,Food and Beverages,100.62
2015-06-01,Ahmedabad,Food and Beverages,100.97
2015-07-01,Ahmedabad,Food and Beverages,100.54
2015-08-01,Ahmedabad,Food and Beverages,102.5
2015-09-01,Ahmedabad,Food and Beverages,101.83
2015-10-01,Ahmedabad,Food and Beverages,103.12
2015-11-01,Ahmedabad,Food and Beverages,102.86
2015-12-01,Ahmedabad,Food and Beverages,103.37
2016-01-01,Ahmedabad,Food and Beverages,104.95
2016-02-01,Ahmedabad,Food and Beverages,106.41
2016-03-01,Ahmedabad,Food and Beverages,107.57
2016-04-01,Ahmedabad,Food and Beverages,107.01
2016-05-01,Ahmedabad,Food and Beverages,107.0
2016-06-01,Ahmedabad,Food and Beverages,108.54
